Test: partitions, many clients (3A) ...
2024/09/30 16:51:35 server[3] append entries successfully, rf.nextIndex[3]: 52
2024/09/30 16:51:35 server[4] append entries successfully, rf.nextIndex[4]: 52
2024/09/30 16:51:35 server[0] append entries successfully, rf.nextIndex[0]: 52
2024/09/30 16:51:36 server[3] append entries successfully, rf.nextIndex[3]: 52
2024/09/30 16:51:36 server[4] append entries successfully, rf.nextIndex[4]: 52
2024/09/30 16:51:36 server[0] append entries successfully, rf.nextIndex[0]: 52
2024/09/30 16:51:36 server[3] append entries successfully, rf.nextIndex[3]: 54
2024/09/30 16:51:36 server[0] append entries successfully, rf.nextIndex[0]: 54
2024/09/30 16:51:36 server[4] append entries successfully, rf.nextIndex[4]: 54
2024/09/30 16:51:36 server[3] append entries successfully, rf.nextIndex[3]: 55
2024/09/30 16:51:36 server[0] append entries successfully, rf.nextIndex[0]: 55
2024/09/30 16:51:36 server[4] append entries successfully, rf.nextIndex[4]: 55
2024/09/30 16:51:36 server[0] append entries successfully, rf.nextIndex[0]: 60
2024/09/30 16:51:36 server[4] append entries successfully, rf.nextIndex[4]: 60
2024/09/30 16:51:36 server[3] append entries successfully, rf.nextIndex[3]: 60
2024/09/30 16:51:36 server[0] append entries successfully, rf.nextIndex[0]: 61
2024/09/30 16:51:36 server[4] append entries successfully, rf.nextIndex[4]: 61
2024/09/30 16:51:36 server[3] append entries successfully, rf.nextIndex[3]: 61
2024/09/30 16:51:36 server[3] append entries successfully, rf.nextIndex[3]: 64
2024/09/30 16:51:36 server[0] append entries successfully, rf.nextIndex[0]: 64
2024/09/30 16:51:36 server[4] append entries successfully, rf.nextIndex[4]: 64
2024/09/30 16:51:36 server[0] append entries successfully, rf.nextIndex[0]: 65
2024/09/30 16:51:36 server[4] append entries successfully, rf.nextIndex[4]: 65
2024/09/30 16:51:36 server[3] append entries successfully, rf.nextIndex[3]: 65
2024/09/30 16:51:36 server[0] append entries successfully, rf.nextIndex[0]: 70
2024/09/30 16:51:36 server[4] append entries successfully, rf.nextIndex[4]: 70
2024/09/30 16:51:37 server[0] append entries successfully, rf.nextIndex[0]: 71
2024/09/30 16:51:37 server[4] append entries successfully, rf.nextIndex[4]: 71
2024/09/30 16:51:37 server[4] append entries successfully, rf.nextIndex[4]: 74
2024/09/30 16:51:37 server[0] append entries successfully, rf.nextIndex[0]: 74
2024/09/30 16:51:37 server[0] append entries successfully, rf.nextIndex[0]: 75
2024/09/30 16:51:37 server[4] append entries successfully, rf.nextIndex[4]: 75
2024/09/30 16:51:37 server[0] append entries successfully, rf.nextIndex[0]: 80
2024/09/30 16:51:37 server[4] append entries successfully, rf.nextIndex[4]: 80
2024/09/30 16:51:37 server[0] append entries successfully, rf.nextIndex[0]: 81
2024/09/30 16:51:37 server[4] append entries successfully, rf.nextIndex[4]: 81
2024/09/30 16:51:37 server[4] append entries successfully, rf.nextIndex[4]: 84
2024/09/30 16:51:37 server[0] append entries successfully, rf.nextIndex[0]: 84
2024/09/30 16:51:37 server[0] append entries successfully, rf.nextIndex[0]: 85
2024/09/30 16:51:37 server[4] append entries successfully, rf.nextIndex[4]: 85
2024/09/30 16:51:37 server[0] append entries successfully, rf.nextIndex[0]: 90
2024/09/30 16:51:37 server[4] append entries successfully, rf.nextIndex[4]: 90
2024/09/30 16:51:37 server[4] append entries successfully, rf.nextIndex[4]: 91
2024/09/30 16:51:37 server[0] append entries successfully, rf.nextIndex[0]: 91
2024/09/30 16:51:38 server[4] append entries successfully, rf.nextIndex[4]: 91
2024/09/30 16:51:38 server[4] append entries successfully, rf.nextIndex[4]: 93
2024/09/30 16:51:38 server[2] append entries successfully, rf.nextIndex[2]: 93
2024/09/30 16:51:38 server[4] append entries successfully, rf.nextIndex[4]: 93
2024/09/30 16:51:38 server[2] append entries successfully, rf.nextIndex[2]: 93
2024/09/30 16:51:38 server[4] append entries successfully, rf.nextIndex[4]: 95
2024/09/30 16:51:38 server[2] append entries successfully, rf.nextIndex[2]: 95
2024/09/30 16:51:38 server[4] append entries successfully, rf.nextIndex[4]: 96
2024/09/30 16:51:38 server[2] append entries successfully, rf.nextIndex[2]: 96
2024/09/30 16:51:38 server[2] append entries successfully, rf.nextIndex[2]: 98
2024/09/30 16:51:38 server[4] append entries successfully, rf.nextIndex[4]: 98
2024/09/30 16:51:38 server[2] append entries successfully, rf.nextIndex[2]: 98
2024/09/30 16:51:38 server[4] append entries successfully, rf.nextIndex[4]: 98
2024/09/30 16:51:39 server[4] append entries successfully, rf.nextIndex[4]: 98
2024/09/30 16:51:39 server[2] append entries successfully, rf.nextIndex[2]: 98
2024/09/30 16:51:39 server[2] append entries successfully, rf.nextIndex[2]: 98
2024/09/30 16:51:39 server[4] append entries successfully, rf.nextIndex[4]: 98
2024/09/30 16:51:39 server[0] append entries successfully, rf.nextIndex[0]: 98
2024/09/30 16:51:39 server[3] append entries successfully, rf.nextIndex[3]: 98
2024/09/30 16:51:39 server[4] append entries successfully, rf.nextIndex[4]: 98
2024/09/30 16:51:39 server[2] append entries successfully, rf.nextIndex[2]: 98
2024/09/30 16:51:39 server[0] append entries successfully, rf.nextIndex[0]: 98
2024/09/30 16:51:39 server[3] append entries successfully, rf.nextIndex[3]: 98
2024/09/30 16:51:39 server[2] append entries successfully, rf.nextIndex[2]: 98
2024/09/30 16:51:39 server[3] append entries successfully, rf.nextIndex[3]: 98
2024/09/30 16:51:39 server[0] append entries successfully, rf.nextIndex[0]: 98
2024/09/30 16:51:39 server[4] append entries successfully, rf.nextIndex[4]: 98
2024/09/30 16:51:39 server[4] append entries successfully, rf.nextIndex[4]: 98
2024/09/30 16:51:39 server[0] append entries successfully, rf.nextIndex[0]: 98
2024/09/30 16:51:39 server[2] append entries successfully, rf.nextIndex[2]: 98
2024/09/30 16:51:39 server[3] append entries successfully, rf.nextIndex[3]: 98
2024/09/30 16:51:39 server[2] append entries successfully, rf.nextIndex[2]: 98
2024/09/30 16:51:39 server[4] append entries successfully, rf.nextIndex[4]: 98
2024/09/30 16:51:39 server[0] append entries successfully, rf.nextIndex[0]: 98
2024/09/30 16:51:39 server[3] append entries successfully, rf.nextIndex[3]: 98
2024/09/30 16:51:39 server[0] append entries successfully, rf.nextIndex[0]: 98
2024/09/30 16:51:39 server[3] append entries successfully, rf.nextIndex[3]: 98
2024/09/30 16:51:39 server[2] append entries successfully, rf.nextIndex[2]: 98
2024/09/30 16:51:39 server[4] append entries successfully, rf.nextIndex[4]: 98
2024/09/30 16:51:40 server[3] append entries successfully, rf.nextIndex[3]: 98
2024/09/30 16:51:40 server[4] append entries successfully, rf.nextIndex[4]: 98
2024/09/30 16:51:40 server[0] append entries successfully, rf.nextIndex[0]: 98
2024/09/30 16:51:40 server[2] append entries successfully, rf.nextIndex[2]: 98
2024/09/30 16:51:40 server[4] append entries successfully, rf.nextIndex[4]: 99
2024/09/30 16:51:40 server[2] append entries successfully, rf.nextIndex[2]: 99
2024/09/30 16:51:40 server[0] append entries successfully, rf.nextIndex[0]: 99
2024/09/30 16:51:40 server[3] append entries successfully, rf.nextIndex[3]: 99
2024/09/30 16:51:40 server[4] append entries successfully, rf.nextIndex[4]: 99
2024/09/30 16:51:40 server[0] append entries successfully, rf.nextIndex[0]: 99
2024/09/30 16:51:40 server[2] append entries successfully, rf.nextIndex[2]: 99
2024/09/30 16:51:40 server[3] append entries successfully, rf.nextIndex[3]: 99
2024/09/30 16:51:40 server[2] append entries successfully, rf.nextIndex[2]: 99
2024/09/30 16:51:40 server[0] append entries successfully, rf.nextIndex[0]: 99
2024/09/30 16:51:40 server[3] append entries successfully, rf.nextIndex[3]: 99
2024/09/30 16:51:40 server[4] append entries successfully, rf.nextIndex[4]: 99
2024/09/30 16:51:40 server[4] append entries successfully, rf.nextIndex[4]: 99
2024/09/30 16:51:40 server[2] append entries successfully, rf.nextIndex[2]: 99
2024/09/30 16:51:40 server[3] append entries successfully, rf.nextIndex[3]: 99
2024/09/30 16:51:40 server[0] append entries successfully, rf.nextIndex[0]: 99
2024/09/30 16:51:40 server[0] append entries successfully, rf.nextIndex[0]: 100
2024/09/30 16:51:40 server[4] append entries successfully, rf.nextIndex[4]: 100
2024/09/30 16:51:40 server[2] append entries successfully, rf.nextIndex[2]: 100
2024/09/30 16:51:40 server[3] append entries successfully, rf.nextIndex[3]: 100
2024/09/30 16:51:40 server[0] append entries successfully, rf.nextIndex[0]: 100
2024/09/30 16:51:40 server[4] append entries successfully, rf.nextIndex[4]: 100
2024/09/30 16:51:40 server[2] append entries successfully, rf.nextIndex[2]: 100
2024/09/30 16:51:40 server[3] append entries successfully, rf.nextIndex[3]: 100
2024/09/30 16:51:40 server[3] append entries successfully, rf.nextIndex[3]: 100
2024/09/30 16:51:40 server[0] append entries successfully, rf.nextIndex[0]: 100
2024/09/30 16:51:40 server[2] append entries successfully, rf.nextIndex[2]: 100
2024/09/30 16:51:40 server[4] append entries successfully, rf.nextIndex[4]: 100
2024/09/30 16:51:41 server[3] append entries successfully, rf.nextIndex[3]: 100
2024/09/30 16:51:41 server[4] append entries successfully, rf.nextIndex[4]: 100
2024/09/30 16:51:41 server[2] append entries successfully, rf.nextIndex[2]: 100
2024/09/30 16:51:41 server[0] append entries successfully, rf.nextIndex[0]: 100
2024/09/30 16:51:41 server[4] append entries successfully, rf.nextIndex[4]: 101
2024/09/30 16:51:41 server[3] append entries successfully, rf.nextIndex[3]: 101
2024/09/30 16:51:41 server[0] append entries successfully, rf.nextIndex[0]: 101
2024/09/30 16:51:41 server[2] append entries successfully, rf.nextIndex[2]: 101
2024/09/30 16:51:41 server[2] append entries successfully, rf.nextIndex[2]: 101
2024/09/30 16:51:41 server[0] append entries successfully, rf.nextIndex[0]: 101
2024/09/30 16:51:41 server[4] append entries successfully, rf.nextIndex[4]: 101
2024/09/30 16:51:41 server[3] append entries successfully, rf.nextIndex[3]: 101
2024/09/30 16:51:41 server[3] append entries successfully, rf.nextIndex[3]: 101
2024/09/30 16:51:41 server[0] append entries successfully, rf.nextIndex[0]: 101
2024/09/30 16:51:41 server[4] append entries successfully, rf.nextIndex[4]: 101
2024/09/30 16:51:41 server[2] append entries successfully, rf.nextIndex[2]: 101
2024/09/30 16:51:41 server[2] append entries successfully, rf.nextIndex[2]: 101
2024/09/30 16:51:41 server[4] append entries successfully, rf.nextIndex[4]: 101
2024/09/30 16:51:41 server[0] append entries successfully, rf.nextIndex[0]: 101
2024/09/30 16:51:41 server[3] append entries successfully, rf.nextIndex[3]: 101
2024/09/30 16:51:41 server[4] append entries successfully, rf.nextIndex[4]: 102
2024/09/30 16:51:41 server[0] append entries successfully, rf.nextIndex[0]: 102
2024/09/30 16:51:41 server[2] append entries successfully, rf.nextIndex[2]: 102
2024/09/30 16:51:41 server[3] append entries successfully, rf.nextIndex[3]: 102
2024/09/30 16:51:41 server[0] append entries successfully, rf.nextIndex[0]: 102
2024/09/30 16:51:41 server[2] append entries successfully, rf.nextIndex[2]: 102
2024/09/30 16:51:41 server[3] append entries successfully, rf.nextIndex[3]: 102
2024/09/30 16:51:41 server[4] append entries successfully, rf.nextIndex[4]: 102
2024/09/30 16:51:41 server[4] append entries successfully, rf.nextIndex[4]: 102
2024/09/30 16:51:41 server[2] append entries successfully, rf.nextIndex[2]: 102
2024/09/30 16:51:41 server[3] append entries successfully, rf.nextIndex[3]: 102
2024/09/30 16:51:41 server[0] append entries successfully, rf.nextIndex[0]: 102
2024/09/30 16:51:41 server[2] append entries successfully, rf.nextIndex[2]: 102
2024/09/30 16:51:41 server[4] append entries successfully, rf.nextIndex[4]: 102
2024/09/30 16:51:41 server[3] append entries successfully, rf.nextIndex[3]: 102
2024/09/30 16:51:41 server[0] append entries successfully, rf.nextIndex[0]: 102
2024/09/30 16:51:42 server[3] append entries successfully, rf.nextIndex[3]: 103
2024/09/30 16:51:42 server[2] append entries successfully, rf.nextIndex[2]: 103
2024/09/30 16:51:42 server[4] append entries successfully, rf.nextIndex[4]: 103
2024/09/30 16:51:42 server[0] append entries successfully, rf.nextIndex[0]: 103
2024/09/30 16:51:42 server[3] append entries successfully, rf.nextIndex[3]: 104
2024/09/30 16:51:42 server[2] append entries successfully, rf.nextIndex[2]: 104
2024/09/30 16:51:42 server[0] append entries successfully, rf.nextIndex[0]: 104
2024/09/30 16:51:42 server[4] append entries successfully, rf.nextIndex[4]: 104
2024/09/30 16:51:42 server[2] append entries successfully, rf.nextIndex[2]: 105
2024/09/30 16:51:42 server[4] append entries successfully, rf.nextIndex[4]: 105
2024/09/30 16:51:42 server[0] append entries successfully, rf.nextIndex[0]: 105
2024/09/30 16:51:42 server[3] append entries successfully, rf.nextIndex[3]: 105
2024/09/30 16:51:42 server[2] append entries successfully, rf.nextIndex[2]: 110
2024/09/30 16:51:42 server[0] append entries successfully, rf.nextIndex[0]: 110
2024/09/30 16:51:42 server[3] append entries successfully, rf.nextIndex[3]: 110
2024/09/30 16:51:42 server[4] append entries successfully, rf.nextIndex[4]: 110
2024/09/30 16:51:42 server[4] append entries successfully, rf.nextIndex[4]: 111
2024/09/30 16:51:42 server[2] append entries successfully, rf.nextIndex[2]: 111
2024/09/30 16:51:42 server[0] append entries successfully, rf.nextIndex[0]: 111
2024/09/30 16:51:42 server[3] append entries successfully, rf.nextIndex[3]: 111
2024/09/30 16:51:42 server[0] append entries successfully, rf.nextIndex[0]: 116
2024/09/30 16:51:42 server[2] append entries successfully, rf.nextIndex[2]: 116
2024/09/30 16:51:42 server[3] append entries successfully, rf.nextIndex[3]: 116
2024/09/30 16:51:42 server[4] append entries successfully, rf.nextIndex[4]: 116
2024/09/30 16:51:42 server[2] append entries successfully, rf.nextIndex[2]: 117
2024/09/30 16:51:42 server[0] append entries successfully, rf.nextIndex[0]: 117
2024/09/30 16:51:42 server[3] append entries successfully, rf.nextIndex[3]: 117
2024/09/30 16:51:42 server[4] append entries successfully, rf.nextIndex[4]: 117
2024/09/30 16:51:42 server[2] append entries successfully, rf.nextIndex[2]: 122
2024/09/30 16:51:42 server[4] append entries successfully, rf.nextIndex[4]: 122
2024/09/30 16:51:42 server[0] append entries successfully, rf.nextIndex[0]: 122
2024/09/30 16:51:42 server[3] append entries successfully, rf.nextIndex[3]: 122
2024/09/30 16:51:43 server[4] append entries successfully, rf.nextIndex[4]: 123
2024/09/30 16:51:43 server[3] append entries successfully, rf.nextIndex[3]: 123
2024/09/30 16:51:43 server[2] append entries successfully, rf.nextIndex[2]: 123
2024/09/30 16:51:43 server[0] append entries successfully, rf.nextIndex[0]: 123
2024/09/30 16:51:43 server[0] append entries successfully, rf.nextIndex[0]: 128
2024/09/30 16:51:43 server[4] append entries successfully, rf.nextIndex[4]: 128
2024/09/30 16:51:43 server[0] append entries successfully, rf.nextIndex[0]: 129
2024/09/30 16:51:43 server[4] append entries successfully, rf.nextIndex[4]: 129
2024/09/30 16:51:43 server[4] append entries successfully, rf.nextIndex[4]: 134
2024/09/30 16:51:43 server[0] append entries successfully, rf.nextIndex[0]: 134
2024/09/30 16:51:43 server[0] append entries successfully, rf.nextIndex[0]: 135
2024/09/30 16:51:43 server[4] append entries successfully, rf.nextIndex[4]: 135
2024/09/30 16:51:43 server[4] append entries successfully, rf.nextIndex[4]: 140
2024/09/30 16:51:43 server[0] append entries successfully, rf.nextIndex[0]: 140
2024/09/30 16:51:43 server[0] append entries successfully, rf.nextIndex[0]: 141
2024/09/30 16:51:43 server[4] append entries successfully, rf.nextIndex[4]: 141
2024/09/30 16:51:43 server[0] append entries successfully, rf.nextIndex[0]: 146
2024/09/30 16:51:43 server[4] append entries successfully, rf.nextIndex[4]: 146
2024/09/30 16:51:44 server[0] append entries successfully, rf.nextIndex[0]: 147
2024/09/30 16:51:44 server[4] append entries successfully, rf.nextIndex[4]: 147
2024/09/30 16:51:44 server[0] append entries successfully, rf.nextIndex[0]: 152
2024/09/30 16:51:44 server[4] append entries successfully, rf.nextIndex[4]: 152
2024/09/30 16:51:44 server[0] append entries successfully, rf.nextIndex[0]: 153
2024/09/30 16:51:45 server[0] append entries successfully, rf.nextIndex[0]: 153
2024/09/30 16:51:45 server[2] append entries successfully, rf.nextIndex[2]: 153
2024/09/30 16:51:45 server[0] append entries successfully, rf.nextIndex[0]: 154
2024/09/30 16:51:45 server[2] append entries successfully, rf.nextIndex[2]: 154
2024/09/30 16:51:45 server[0] append entries successfully, rf.nextIndex[0]: 158
2024/09/30 16:51:45 server[3] append entries successfully, rf.nextIndex[3]: 158
2024/09/30 16:51:45 server[3] append entries successfully, rf.nextIndex[3]: 158
2024/09/30 16:51:45 server[0] append entries successfully, rf.nextIndex[0]: 158
2024/09/30 16:51:45 server[0] append entries successfully, rf.nextIndex[0]: 158
2024/09/30 16:51:45 server[3] append entries successfully, rf.nextIndex[3]: 158
2024/09/30 16:51:45 server[3] append entries successfully, rf.nextIndex[3]: 160
2024/09/30 16:51:45 server[0] append entries successfully, rf.nextIndex[0]: 160
2024/09/30 16:51:46 server[0] append entries successfully, rf.nextIndex[0]: 161
2024/09/30 16:51:46 server[3] append entries successfully, rf.nextIndex[3]: 161
2024/09/30 16:51:46 server[0] append entries successfully, rf.nextIndex[0]: 162
2024/09/30 16:51:46 server[3] append entries successfully, rf.nextIndex[3]: 162
2024/09/30 16:51:46 server[3] append entries successfully, rf.nextIndex[3]: 165
2024/09/30 16:51:46 server[0] append entries successfully, rf.nextIndex[0]: 165
2024/09/30 16:51:46 server[0] append entries successfully, rf.nextIndex[0]: 168
2024/09/30 16:51:46 server[0] append entries successfully, rf.nextIndex[0]: 169
2024/09/30 16:51:46 server[0] append entries successfully, rf.nextIndex[0]: 170
2024/09/30 16:51:46 server[0] append entries successfully, rf.nextIndex[0]: 170
2024/09/30 16:51:46 server[0] append entries successfully, rf.nextIndex[0]: 170
2024/09/30 16:51:46 server[0] append entries successfully, rf.nextIndex[0]: 170
2024/09/30 16:51:47 server[0] append entries successfully, rf.nextIndex[0]: 170
2024/09/30 16:51:47 server[0] append entries successfully, rf.nextIndex[0]: 170
2024/09/30 16:51:47 server[3] append entries successfully, rf.nextIndex[3]: 172
2024/09/30 16:51:47 server[3] append entries successfully, rf.nextIndex[3]: 174
2024/09/30 16:51:47 server[3] append entries successfully, rf.nextIndex[3]: 175
2024/09/30 16:51:48 server[3] append entries successfully, rf.nextIndex[3]: 175
2024/09/30 16:51:48 server[3] append entries successfully, rf.nextIndex[3]: 175
2024/09/30 16:51:48 server[3] append entries successfully, rf.nextIndex[3]: 175
2024/09/30 16:51:48 server[3] append entries successfully, rf.nextIndex[3]: 175
2024/09/30 16:51:48 server[3] append entries successfully, rf.nextIndex[3]: 175
2024/09/30 16:51:48 server[4] append entries successfully, rf.nextIndex[4]: 175
2024/09/30 16:51:48 server[2] append entries successfully, rf.nextIndex[2]: 175
2024/09/30 16:51:48 server[4] append entries successfully, rf.nextIndex[4]: 177
2024/09/30 16:51:48 server[2] append entries successfully, rf.nextIndex[2]: 177
2024/09/30 16:51:48 server[3] append entries successfully, rf.nextIndex[3]: 177
2024/09/30 16:51:48 server[4] append entries successfully, rf.nextIndex[4]: 178
2024/09/30 16:51:48 server[2] append entries successfully, rf.nextIndex[2]: 178
2024/09/30 16:51:48 server[3] append entries successfully, rf.nextIndex[3]: 178
2024/09/30 16:51:49 server[2] append entries successfully, rf.nextIndex[2]: 179
2024/09/30 16:51:49 server[3] append entries successfully, rf.nextIndex[3]: 179
2024/09/30 16:51:49 server[4] append entries successfully, rf.nextIndex[4]: 179
2024/09/30 16:51:49 server[2] append entries successfully, rf.nextIndex[2]: 179
2024/09/30 16:51:49 server[4] append entries successfully, rf.nextIndex[4]: 179
2024/09/30 16:51:49 server[3] append entries successfully, rf.nextIndex[3]: 179
2024/09/30 16:51:49 server[4] append entries successfully, rf.nextIndex[4]: 179
2024/09/30 16:51:49 server[3] append entries successfully, rf.nextIndex[3]: 179
2024/09/30 16:51:49 server[2] append entries successfully, rf.nextIndex[2]: 179
2024/09/30 16:51:49 server[4] append entries successfully, rf.nextIndex[4]: 179
2024/09/30 16:51:49 server[3] append entries successfully, rf.nextIndex[3]: 179
2024/09/30 16:51:49 server[2] append entries successfully, rf.nextIndex[2]: 179
2024/09/30 16:51:49 server[3] append entries successfully, rf.nextIndex[3]: 179
2024/09/30 16:51:49 server[4] append entries successfully, rf.nextIndex[4]: 179
2024/09/30 16:51:49 server[2] append entries successfully, rf.nextIndex[2]: 179
2024/09/30 16:51:49 server[4] append entries successfully, rf.nextIndex[4]: 180
2024/09/30 16:51:49 server[2] append entries successfully, rf.nextIndex[2]: 180
2024/09/30 16:51:49 server[3] append entries successfully, rf.nextIndex[3]: 180
2024/09/30 16:51:49 server[3] append entries successfully, rf.nextIndex[3]: 180
2024/09/30 16:51:49 server[4] append entries successfully, rf.nextIndex[4]: 180
2024/09/30 16:51:49 server[2] append entries successfully, rf.nextIndex[2]: 180
2024/09/30 16:51:49 server[3] append entries successfully, rf.nextIndex[3]: 180
2024/09/30 16:51:49 server[4] append entries successfully, rf.nextIndex[4]: 180
2024/09/30 16:51:49 server[2] append entries successfully, rf.nextIndex[2]: 180
2024/09/30 16:51:50 server[2] append entries successfully, rf.nextIndex[2]: 180
2024/09/30 16:51:50 server[4] append entries successfully, rf.nextIndex[4]: 180
2024/09/30 16:51:50 server[3] append entries successfully, rf.nextIndex[3]: 180
2024/09/30 16:51:50 server[2] append entries successfully, rf.nextIndex[2]: 181
2024/09/30 16:51:50 server[4] append entries successfully, rf.nextIndex[4]: 181
2024/09/30 16:51:50 server[3] append entries successfully, rf.nextIndex[3]: 181
2024/09/30 16:51:50 server[4] append entries successfully, rf.nextIndex[4]: 181
2024/09/30 16:51:50 server[2] append entries successfully, rf.nextIndex[2]: 181
2024/09/30 16:51:50 server[3] append entries successfully, rf.nextIndex[3]: 181
2024/09/30 16:51:50 server[3] append entries successfully, rf.nextIndex[3]: 181
2024/09/30 16:51:50 server[4] append entries successfully, rf.nextIndex[4]: 181
2024/09/30 16:51:50 server[2] append entries successfully, rf.nextIndex[2]: 181
2024/09/30 16:51:50 server[3] append entries successfully, rf.nextIndex[3]: 181
2024/09/30 16:51:50 server[2] append entries successfully, rf.nextIndex[2]: 181
2024/09/30 16:51:50 server[4] append entries successfully, rf.nextIndex[4]: 181
2024/09/30 16:51:50 server[2] append entries successfully, rf.nextIndex[2]: 182
2024/09/30 16:51:50 server[4] append entries successfully, rf.nextIndex[4]: 182
2024/09/30 16:51:50 server[3] append entries successfully, rf.nextIndex[3]: 182
2024/09/30 16:51:50 server[2] append entries successfully, rf.nextIndex[2]: 182
2024/09/30 16:51:50 server[3] append entries successfully, rf.nextIndex[3]: 182
2024/09/30 16:51:50 server[4] append entries successfully, rf.nextIndex[4]: 182
2024/09/30 16:51:50 server[2] append entries successfully, rf.nextIndex[2]: 182
2024/09/30 16:51:50 server[3] append entries successfully, rf.nextIndex[3]: 182
2024/09/30 16:51:50 server[4] append entries successfully, rf.nextIndex[4]: 182
2024/09/30 16:51:51 server[4] append entries successfully, rf.nextIndex[4]: 182
2024/09/30 16:51:51 server[2] append entries successfully, rf.nextIndex[2]: 182
2024/09/30 16:51:51 server[3] append entries successfully, rf.nextIndex[3]: 182
2024/09/30 16:51:51 server[4] append entries successfully, rf.nextIndex[4]: 183
2024/09/30 16:51:51 server[3] append entries successfully, rf.nextIndex[3]: 183
2024/09/30 16:51:51 server[2] append entries successfully, rf.nextIndex[2]: 183
